"","GOBPID","Pvalue","OddsRatio","ExpCount","Count","Size","Term"
"1","GO:0033554",1.20393689240769e-37,2.95901501112286,112.543524842641,251,1817,"cellular response to stress"
"2","GO:0012501",7.22885363827774e-33,2.81419872500299,107.154814517209,233,1730,"programmed cell death"
"3","GO:0044710",1.86396083883341e-32,2.25412984541269,310.563144502478,480,5014,"single-organism metabolic process"
"4","GO:0006915",2.87869119146875e-32,2.79943067827979,105.977969733494,230,1711,"apoptotic process"
"5","GO:0051726",3.73490567924882e-31,3.4453765656236,56.6743672157493,153,915,"regulation of cell cycle"
"6","GO:0006950",5.82626321852682e-31,2.28640585029474,230.104124815856,385,3715,"response to stress"
"7","GO:0008219",5.929378973176e-31,2.692511744991,113.100977634927,237,1826,"cell death"
"8","GO:0016265",5.929378973176e-31,2.692511744991,113.100977634927,237,1826,"death"
"9","GO:0007049",1.86692794153298e-30,2.76522136614881,101.084773001205,219,1632,"cell cycle"
"10","GO:0051338",7.35176526832326e-30,3.3341227306886,58.1609079951788,153,939,"regulation of transferase activity"
"11","GO:0048522",1.09318590279301e-28,2.17023330872528,268.878063479309,423,4341,"positive regulation of cellular process"
"12","GO:0010941",1.45088463724795e-28,2.81281921190597,87.3342707914825,195,1410,"regulation of cell death"
"13","GO:0043549",1.4974773209116e-28,3.39895386421614,52.3386232757466,141,845,"regulation of kinase activity"
"14","GO:0043067",3.14969244873196e-28,2.8522169823623,82.3791348600509,187,1330,"regulation of programmed cell death"
"15","GO:0000278",4.56912459419832e-28,3.18353707408506,60.3287799651801,153,974,"mitotic cell cycle"
"16","GO:0045859",7.20629558713093e-28,3.43444982461492,49.4894201151734,135,799,"regulation of protein kinase activity"
"17","GO:0031325",2.60413107124016e-27,2.30194896094154,168.970135261819,301,2728,"positive regulation of cellular metabolic process"
"18","GO:0042981",2.80624914149674e-27,2.81385071562981,81.7597428686219,184,1320,"regulation of apoptotic process"
"19","GO:0016310",3.1869036872864e-27,2.48602746083149,122.639614302933,241,1980,"phosphorylation"
"20","GO:0010604",1.05028961856122e-26,2.29143044119906,165.501540109817,295,2672,"positive regulation of macromolecule metabolic process"
"21","GO:0035556",1.50394552395281e-26,2.32082412302451,154.724119458953,281,2498,"intracellular signal transduction"
"22","GO:0032268",1.69324243615491e-26,2.37821593368946,139.239319673229,261,2248,"regulation of cellular protein metabolic process"
"23","GO:0051246",1.8117968549323e-26,2.33694869661555,149.397348332664,274,2412,"regulation of protein metabolic process"
"24","GO:0006468",2.32069637839872e-26,2.57131849315068,103.624280166064,213,1673,"protein phosphorylation"
"25","GO:0010033",6.29336849688034e-26,2.25695441602375,168.041047274675,296,2713,"response to organic substance"
"26","GO:1903047",7.679403401252e-26,3.27142957351291,50.6043256997455,133,817,"mitotic cell cycle process"
"27","GO:0051247",7.83880518739639e-26,2.66428193763585,89.5640819606268,192,1446,"positive regulation of protein metabolic process"
"28","GO:0016043",1.44581162601825e-25,2.0363369853869,349.646779161645,501,5645,"cellular component organization"
"29","GO:0032270",1.77924427838188e-25,2.70388153972576,83.8656756394804,183,1354,"positive regulation of cellular protein metabolic process"
